"","X1","new_col"
"757","виїзд",0
"758","викид",0
"759","викидати",-1
"760","викидати",-1
"761","викинути",-2
"762","викладати",0
"763","викладацький",0
"764","викладач",0
"765","виклик",0
"766","виключати",0
"767","виключення",0
"768","виконавчий",0
"769","виконання",0
"770","виконання",0
"771","виконком",0
"772","виконувати",0
"773","виконувати",0
"774","викопувати",0
"775","використання",0
"776","використати",1
"777","використовувати",0
"778","використовуватися",0
"779","викорінення",1
"780","викорінити",-2
"781","викрадати",-1
"782","викрадач",-1
"783","викрадення",-1
"784","викривальний",0
"785","викривати",0
"786","викривач",-1
"787","викрикувати",0
"788","викрити",-2
"789","викриття",0
"790","викуп",0
"791","викуповувати",0
"792","викурювати",-1
"793","вилазити",0
"794","виливатися",0
"795","вилучення",-1
"796","виляти",-1
"797","вимагати",-1
"798","вимивати",-2
"799","вимирання",-1
"800","вимирати",-2
"801","вимір",0
"802","вимовляти",0
"803","вимога",0
"804","вимогливий",0
"805","винагорода",0
"806","винагородити",1
"807","винахідливий",0
"808","винаходити",0
"809","виникнення",0
"810","винищувати",-1
"811","винищувач",0
"812","винний",-1
"813","винність",-1
"814","виношувати",0
"815","винуватий",-1
"816","винятковий",0
"817","винятковість",0
"818","випадати",0
"819","випадковий",0
"820","випалювати",-2
"821","випереджати",1
"822","випивати",0
"823","виписка",0
"824","виписувати",0
"825","виплачувати",0
"826","виплачуватися",0
"827","виправдання",-1
"828","виправдатися",1
"829","виправдовувати",0
"830","виправдувальний",1
"831","виправлення",0
"832","виправляти",0
"833","виправний",0
"834","випробування",0
"835","випромінювання",0
"836","випуск",0
"837","випускатися",0
"838","випускниця",0
"839","виражати",0
"840","виражатися",0
"841","вираз",0
"842","виразка",-2
"843","виразковий",-1
"844","виразний",1
"845","виразний",1
"846","виразно",0
"847","вираховувати",0
"848","вириватися",-2
"849","виріб",0
"850","вирізати",-2
"851","вирізняти",1
"852","вирішувати",0
"853","вирішуватися",0
"854","вирішуватися",0
"855","виробляти",0
"856","виробляти",0
"857","вироблятися",0
"858","виробник",0
"859","виробництво",0
"860","вироджуватися",-1
"861","виродок",-1
"862","вирок",-1
"863","виростити",1
"864","вирощування",0
"865","вирощувати",0
"866","вирубатися",0
"867","виручати",1
"868","виручка",0
"869","висадка",-1
"870","висвітлюватися",0
"871","виселення",-1
"872","висилати",0
"873","вислизати",0
"874","вислів",0
"875","вислуховувати",0
"876","висміювати",-2
"877","виснаження",-1
"878","виснажливий",-1
"879","висновок",0
"880","висновок",0
"881","високий",1
"882","високоефективний",2
"883","висококваліфікований",2
"884","висококласний",2
"885","високоміцний",1
"886","високоморальний",1
"887","високооплачуваний",1
"888","високоосвічений",1
"889","високоповажний",1
"890","високоповажний",1
"891","високопоставлений",0
"892","високопродуктивний",1
"893","високопрофесійний",1
"894","високотехнологічний",1
"895","високоточний",1
"896","високохудожній",1
"897","високошвидкісний",0
"898","високоякісний",2
"899","виставляти",0
"900","вистежувати",-2
"901","вистражданий",1
"902","вистрілювати",-1
"903","виступ",0
"904","висування",0
"905","висувати",0
"906","висуватися",0
"907","витік",-1
"908","витік",-1
"909","витіснення",0
"910","витісняти",-1
"911","витончений",1
"912","витонченість",2
"913","витончено",1
"914","витрата",-1
"915","витрата",-1
"916","витратити",-1
"917","витратний",-2
"918","витривалий",1
"919","витримувати",0
"920","витягати",0
"921","витягнути",-2
"922","витягувати",0
"923","виучуватися",0
"924","вихваляти",-2
"925","вихід",0
"926","вихлюпуватися",-2
"927","вихованка",0
"928","виховання",0
"929","виховуватися",0
"930","виходити",0
"931","вишка",0
"932","вишуканий",1
"933","вишукування",0
"934","вишукувати",0
"935","вищенаведений",0
"936","вищеперелічений",0
"937","виявлення",0
"938","виявлення",0
"939","виявляти",0
"940","виявляти",0
"941","виявлятися",0
"942","вівторок",0
"943","відбиватися",0
"944","відбиватися",0
"945","відбір",0
"946","відбування",-1
"947","відбування",-1
"948","відбувати",-1
"949","відбуватися",0
"950","відбудовувати",1
"951","відбутися",0
"952","відвага",1
"953","відважний",2
"954","відвалюватися",0
"955","відвертий",0
"956","відвідуваність",0
"957","відвідувач",0
"958","відвозити",0
"959","відволікати",0
"960","відволікатися",0
"961","відганяти",-2
"962","відгороджувати",-2
"963","відгук",0
"964","відгукуватися",0
"965","віддавати",0
"966","віддаватися",0
"967","віддалений",0
"968","відданість",1
"969","віддача",0
"970","відділок",-2
"971","відділятися",0
"972","віденський",0
"973","відеозапис",0
"974","відзначати",0
"975","відзначатися",0
"976","відкат",-2
"977","відкачувати",0
"978","відкидати",-1
"979","відкидати",-1
"980","відкидний",0
"981","відкладати",0
"982","відкривати",0
"983","відкритість",1
"984","відкриття",0
"985","відкріпний",0
"986","відкушувати",-1
"987","відлуння",0
"988","відлякувати",0
"989","відмивання",-1
"990","відміна",0
"991","відмінний",2
"992","відмінниця",1
"993","відмінність",0
"994","відмітний",0
"995","відмова",0
"996","відмовитися",-2
"997","відмовляти",-1
"998","відмовлятися",-1
"999","відмовний",-1
"1000","відморозок",-2
"1001","відновлення",1
"1002","відновлення",1
"1003","відновлювальний",1
"1004","відновлювати",1
"1005","відновлювати",1
"1006","відноситися",0
"1007","відносний",0
"1008","відношення",0
"1009","відображати",1
"1010","відображення",0
"1011","відомий",0
"1012","відомство",0
"1013","відпадати",0
"1014","відписуватися",0
"1015","відповідальний",0
"1016","відповідальність",0
"1017","відповідати",0
"1018","відповідність",0
"1019","відправка",0
"1020","відправляти",0
"1021","відправлятися",0
"1022","відпрацьовувати",0
"1023","відпустка",0
"1024","відраза",-1
"1025","відраховувати",0
"1026","відрахування",0
"1027","відреагувати",0
"1028","відреставрований",1
"1029","відриватися",0
"1030","відринутий",-1
"1031","відрізати",-1
"1032","відрізнятися",0
"1033","відрікатися",0
"1034","відродження",1
"1035","відроджувати",1
"1036","відроджуватися",1
"1037","відродити",2
"1038","відрубувати",-1
"1039","відсахнутися",-2
"1040","відсвяткувати",1
"1041","відсидка",-2
"1042","відсилати",0
"1043","відсік",0
"1044","відсіч",1
"1045","відслідковувати",0
"1046","відслужувати",0
"1047","відсотковий",0
"1048","відспівувати",0
"1049","відставати",-1
"1050","відстань",0
"1051","відстеження",0
"1052","відсторонення",-1
"1053","відстороняти",-1
"1054","відстоювати",0
"1055","відстояти",0
"1056","відстрілюватися",0
"1057","відстрочка",0
"1058","відступати",0
"1059","відсувати",0
"1060","відсутність",0
"1061","відтворювати",0
"1062","відтісняти",0
"1063","відторгнення",-1
"1064","відтяти",-2
"1065","відхилення",-1
"1066","відхиляти",-1
"1067","відхід",0
"1068","відхожий",-1
"1069","відчай",-2
"1070","відчайдушний",0
"1071","відчувати",0
"1072","відчувати",0
"1073","відчувати",0
"1074","відчуватися",0
"1075","відчути",0
"1076","відчути",0
"1077","відчутний",0
"1078","відчуття",0
"1079","відшкодовувати",0
"1080","відштовхнути",-1
"1081","відштовхувати",0
"1082","відщепенець",-2
"1083","віза",0
"1084","візантійський",0
"1085","візит",0
"1086","візовий",0
"1087","війна",-1
"1088","військкомат",0
"1089","військовий",0
"1090","військовий",0
"1091","військовий",0
"1092","військово-історичний",0
"1093","військово-морський",0
"1094","військово-політичний",0
"1095","військовополонений",0
"1096","військовослужбовець",0
"1097","вік",0
"1098","вікіпедія",0
"1099","віковий",0
"1100","віковий",0
"1101","вікторіанський",0
"1102","вільний",0
"1103","вільнодумний",1
"1104","вільнюський",0
"1105","віргінський",0
"1106","віриться",0
"1107","вірменин",0
"1108","вірменський",0
"1109","вірний",0
"1110","вірність",1
"1111","віроломний",-2
"1112","віртуальний",0
"1113","вірус",0
"1114","вірусний",-1
"1115","вісімдесятий",0
"1116","віслюк",0
"1117","вітальний",1
"1118","вітати",1
"1119","вітатися",1
"1120","вітебський",0
"1121","вітчизна",0
"1122","вітчизняний",0
"1123","віце-адмірал",0
"1124","віце-президент",0
"1125","віце-прем'єр",0
"1126","віце-спікер",0
"1127","вічний",1
"1128","вішати",0
"1129","віщати",0
"1130","віщий",1
"1131","вказівка",0
"1132","вказуватися",0
"1133","вкинути",-2
"1134","вкладник",0
"1135","включатися",0
"1136","вкрасти",-2
"1137","вкусити",-2
"1138","влада",0
"1139","владний",0
"1140","власний",0
"1141","власність",0
"1142","властивий",1
"1143","влаштовувати",0
"1144","вливатися",0
"1145","вловимий",0
"1146","вмирати",-1
"1147","вміння",0
"1148","внесення",0
"1149","внесок",0
"1150","внесок",0
"1151","внутрішній",0
"1152","внутрішньодержавний",0
"1153","внутрішньоросійський",0
"1154","вовтузіння",-2
"1155","вогневий",-1
"1156","вогнегасник",0
"1157","вогненний",0
"1158","вогнепальний",0
"1159","вогник",1
"1160","вогнище",0
"1161","вогонь",0
"1162","водитися",0
"1163","водіння",0
"1164","вододіл",0
"1165","водосховище",0
"1166","водотоннажність",0
"1167","воєначальник",0
"1168","вождь",0
"1169","возз'єднання",0
"1170","воістину",1
"1171","воїн",0
"1172","войовничий",0
"1173","волати",-2
"1174","волгоградський",0
"1175","волелюбний",0
"1176","волзький",0
"1177","воловий",-2
"1178","волога",0
"1179","вологодський",0
"1180","володар",0
"1181","володіти",0
"1182","волонтер",1
"1183","волонтерський",0
"1184","вольовий",1
"1185","ворог",-2
"1186","ворожий",-1
"1187","ворожий",-1
"1188","ворушитися",-2
"1189","воскресіння",1
"1190","воювати",0
"1191","впарювати",-1
"1192","впевнений",1
"1193","впевненість",1
"1194","впевнено",1
"1195","впертий",-1
"1196","вписуватися",0
"1197","впізнавати",0
"1198","вплив",0
"1199","вплив",0
"1200","впливати",0
"1201","впливовий",1
"1202","вплинути",0
"1203","впору",0
"1204","впровадження",1
"1205","впроваджувати",0
"1206","вражати",-1
"1207","вражати",1
"1208","вражатися",0
"1209","вражаючий",1
"1210","вражаючий",1
"1211","враження",0
"1212","вразливий",0
"1213","враховувати",0
"1214","враховуватися",0
"1215","врегулювання",1
"1216","врегулювати",0
"1217","вриватися",-2
"1218","врівноваженість",1
"1219","врізатися",0
"1220","врода",1
"1221","вродливий",1
"1222","врожайність",0
"1223","вручатися",0
"1224","вручення",0
"1225","вручну",0
"1226","всебічний",1
"1227","всеблагий",1
"1228","Всевишній",1
"1229","вселенський",1
"1230","вселяти",0
"1231","всемогутній",1
"1232","всеосяжний",1
"1233","всеохоплюючий",1
"1234","всепереможний",1
"1235","всепоглинаючий",0
"1236","всепроникаючий",0
"1237","всеросійський",1
"1238","всесвітній",0
"1239","всесильний",0
"1240","всесоюзний",0
"1241","всиновлювати",0
"1242","всілякий",0
"1243","всміхатися",1
"1244","встановлення",0
"1245","встановлюватися",0
"1246","встигати",0
"1247","вступ",0
"1248","вступати",0
"1249","вступний",0
"1250","всюди",0
"1251","всяко",0
"1252","втеча",-1
"1253","втікати",-2
"1254","втілити",1
"1255","втілитися",1
"1256","втілювати",1
"1257","втішати",1
"1258","втома",-1
"1259","втомлювати",0
"1260","втомлюватися",-1
"1261","вторгатися",-1
"1262","вторгнення",-1
"1263","вторгнутися",-2
"1264","вторинний",0
"1265","втрата",-1
"1266","втрата",-1
"1267","втратити",-1
"1268","втрачений",1
"1269","втричі",-1
"1270","втручання",-1
"1271","втручатися",-1
"1272","втягнути",-2
"1273","втягувати",-2
"1274","вуглеводень",0
"1275","вузол",0
"1276","вузький",0
"1277","вузьколобий",-1
"1278","вулиця",0
"1279","вульгарний",0
"1280","вціліти",1
"1281","вчений",0
"1282","вчинений",-2
"1283","вчинити",-2
"1284","вчорашній",0
"1285","вщухати",0
"1286","газета",0
"1287","газовий",0
"1288","газон",0
"1289","гайдамацтво",-2
"1290","галасливий",-1
"1291","галузь",0
"1292","гальмо",-1
"1293","гальмування",0
"1294","гальмувати",-1
"1295","галюцинація",0
"1296","гамівній",0
"1297","ганебний",-2
"1298","ганебний",-2
"1299","ганьба",-2
"1300","ганьбити",-2
"1301","ганятися",0
"1302","гаразд",0
"1303","гарантійний",1
"1304","гарантія",0
"1305","гарантований",1
"1306","гарантувати",1
